Date,BTC,SOL,XRP,LINK,ETH,HYPER,AVAX
2024-05-01,-0.0004228743999999997,-0.0003506996999999999,-5.93603e-05,-0.00016577810000000006,-0.00017676210000000005,-0.0,0.0005172121999999998
2024-05-02,-0.00027046080000000004,-0.0004732279999999997,-0.00018190850000000003,-0.00026237620000000005,-0.00026241590000000004,-0.0,-0.00014634420000000003
2024-05-03,2.5981999999999962e-05,-2.9507399999999995e-05,-0.0002927763,-0.00025490930000000004,9.887359999999999e-05,-0.0,-0.0003
2024-05-04,-0.00027731660000000004,-0.0003,-0.0002859175,-0.0002629047,0.0002145192,-0.0,-0.0002958829
2024-05-05,-0.00031624549999999995,-0.00030854659999999997,-0.00028503519999999996,-0.0003,0.00038422640000000007,-0.0,-0.0003
2024-05-06,-0.0007286536000000001,-0.0004415804,-0.00028407130000000005,-0.0003,-0.00021729380000000008,-0.0,-0.0003
2024-05-07,-0.0005314543999999998,-0.00033940859999999996,-0.00011616700000000001,-0.0003,-0.0004930307999999998,-0.0,-0.0003
2024-05-08,-0.0002900569,0.00047687450000000024,-0.00016644920000000003,-0.0003,-0.0003892570999999999,-0.0,-0.0003
2024-05-09,-9.085400000000004e-05,-0.00024307990000000006,0.00035828359999999997,-0.0003,-1.5535999999999947e-06,-0.0,-0.0004793149000000001
2024-05-10,-0.00041693159999999993,-0.00023817570000000008,-5.459479999999999e-05,-0.0002686089,-0.0005398687000000002,-0.0,-0.0007338339000000004
2024-05-11,-0.0003149319,-0.0003393857999999999,-0.00011302330000000004,-0.0003,-0.00026171410000000006,-0.0,0.0004286579000000001
2024-05-12,-0.00030512899999999996,-0.00023404500000000005,0.0003021985,-0.0003,-6.344310000000003e-05,-0.0,0.0006760720000000001
2024-05-13,-0.0002848197,-0.0003,0.000304237,-0.00026040120000000007,-0.00015207140000000004,-0.0,-9.835960000000003e-05
2024-05-14,-0.0004964774000000001,-0.000295194,0.00011116229999999997,-0.00017491710000000003,-0.00026540670000000006,-0.0,-0.00022003990000000006
2024-05-15,-0.0004497234999999997,-0.00022247839999999989,-0.00013611890000000005,-0.00025264720000000006,-0.00025282580000000003,-0.0,-0.00029823139999999996
2024-05-16,-0.0002802212,0.0001242655000000001,-0.0003,-0.00038177170000000006,-0.0004635045,-0.0,-0.0003
